,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
113,113,motorbike,conv_crossing_left_car,leftright_topbottom,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
114,114,motorbike,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
115,115,person,conv_crossing_far_car,leftright_topbottom,2021-11-11,12,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
116,116,person,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,5,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
117,117,person,conv_crossing_far_person,leftright_topbottom,2021-11-11,33,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
118,118,person,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,20,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
119,119,person,conv_crossing_left_car,leftright_topbottom,2021-11-11,131,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
120,120,person,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,52,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
121,121,person,conv_crossing_left_person,leftright_topbottom,2021-11-11,46,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
122,122,person,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,18,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
123,123,person,conv_crossing_parking,leftright_topbottom,2021-11-11,25,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
124,124,person,conv_crossing_parking,rightleft_bottomtop,2021-11-11,16,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
125,125,person,conv_crossing_right_car,leftright_topbottom,2021-11-11,25,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
126,126,person,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,30,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
127,127,person,conv_crossing_right_person,leftright_topbottom,2021-11-11,14,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
128,128,person,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,41,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
129,129,truck,conv_crossing_far_car,leftright_topbottom,2021-11-11,12,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
130,130,truck,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,12,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
131,131,truck,conv_crossing_far_person,leftright_topbottom,2021-11-11,2,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
132,132,truck,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,12,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
133,133,truck,conv_crossing_left_car,leftright_topbottom,2021-11-11,12,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
134,134,truck,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,15,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
135,135,truck,conv_crossing_left_person,leftright_topbottom,2021-11-11,2,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
136,136,truck,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
137,137,truck,conv_crossing_parking,rightleft_bottomtop,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
138,138,truck,conv_crossing_right_car,leftright_topbottom,2021-11-11,6,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
139,139,truck,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,14,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
140,140,truck,conv_crossing_right_person,leftright_topbottom,2021-11-11,6,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
141,141,truck,conv_crossing_right_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 11:00:00,木曜,11,False,2021-11-11,False,0
142,142,bicycle,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
143,143,bicycle,conv_crossing_right_car,leftright_topbottom,2021-11-11,1,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
144,144,bus,conv_crossing_far_car,leftright_topbottom,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
